Server Name 	Install Server 	Contract 
linagi15.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lienter07.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltinst01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lt09pamplayground01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltpamplayground04.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liorch120.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liorch123.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltbom5.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm114.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liitsm101.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi12.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lirudder7ptc01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltbppm06.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi64.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi63.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liinstbmw01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
liinst01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltbppm09.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
linagi22.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
ltagpam003.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lirudder7ptr01.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
lt09pamplayground02.bmwgroup.net	              lpinstiaashs02	IAAS_NTT_LI-UX_HS_SRV
