ServerName	Server Contract 	Install Server
lpxenpb2vmqn06	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd11	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd12	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd13	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd14	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd15	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd16	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd17	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd18	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd19	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd20	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd21	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd22	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd23	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpbigd24	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag005	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag006	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag007	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag008	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag009	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag010	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag011	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag012	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag013	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag014	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag019	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgag022	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgb2v001	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgb2v002	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgb2v003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpgb2v004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpima01	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpima02	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg071	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg072	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg075	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg076	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg077	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg078	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg079	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg080	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg081	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg082	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg083	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg084	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg085	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg086	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg087	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg088	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg095	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppg096	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk003	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk004	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk005	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk006	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk007	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk008	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk009	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk010	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk011	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk012	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk013	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk014	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk015	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk016	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk017	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppgdk018	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppki05	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenppki06	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa017	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa018	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa019	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa022	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa023	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa024	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2021	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2022	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2023	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2024	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2025	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2026	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2027	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2028	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwa2029	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwb017	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwb018	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwb019	IAAS_NTT_LI-UX_SRV	lpinstiaas02
lpxenpwb020	IAAS_NTT_LI-UX_SRV	lpinstiaas02
